id,bubble_id,last_synced_at,created_at,updated_at,total_amount,created_date,record_month,linked_user,modified_date,linked_invoice,created_by,all_full_on_date,achieved_tier_bonus
55,1735617170727x589864281485175200,2025-09-12T07:48:56.165Z,2025-09-12T07:48:56.165Z,2025-09-12T07:48:56.165Z,,2024-12-31T03:52:50.732Z,2024-04-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:50.796Z,,non_authenticated_user_eternalgy_live,,
56,1735617171002x683732225623025400,2025-09-12T07:48:56.170Z,2025-09-12T07:48:56.170Z,2025-09-12T07:48:56.170Z,,2024-12-31T03:52:51.006Z,2024-05-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:51.055Z,,non_authenticated_user_eternalgy_live,,
57,1735617171243x350070312462759740,2025-09-12T07:48:56.174Z,2025-09-12T07:48:56.174Z,2025-09-12T07:48:56.174Z,,2024-12-31T03:52:51.249Z,2024-06-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:51.308Z,,non_authenticated_user_eternalgy_live,,
58,1735617171477x208577285368266800,2025-09-12T07:48:56.178Z,2025-09-12T07:48:56.178Z,2025-09-12T07:48:56.178Z,,2024-12-31T03:52:51.482Z,2024-07-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:51.529Z,,non_authenticated_user_eternalgy_live,,
59,1735617171727x829833274561264000,2025-09-12T07:48:56.185Z,2025-09-12T07:48:56.185Z,2025-09-12T07:48:56.185Z,,2024-12-31T03:52:51.732Z,2024-08-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:51.799Z,,non_authenticated_user_eternalgy_live,,
60,1735617171971x861921072109248100,2025-09-12T07:48:56.191Z,2025-09-12T07:48:56.191Z,2025-09-12T07:48:56.191Z,,2024-12-31T03:52:51.978Z,2024-09-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:52.150Z,,non_authenticated_user_eternalgy_live,,
61,1735617172334x298105632105017300,2025-09-12T07:48:56.197Z,2025-09-12T07:48:56.197Z,2025-09-12T07:48:56.197Z,,2024-12-31T03:52:52.339Z,2024-10-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:52.430Z,,non_authenticated_user_eternalgy_live,,
62,1735617172596x883894868941525800,2025-09-12T07:48:56.203Z,2025-09-12T07:48:56.203Z,2025-09-12T07:48:56.203Z,,2024-12-31T03:52:52.604Z,2024-11-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:52.650Z,,non_authenticated_user_eternalgy_live,,
63,1735617172826x877668430870905700,2025-09-12T07:48:56.209Z,2025-09-12T07:48:56.209Z,2025-09-12T07:48:56.209Z,,2024-12-31T03:52:52.831Z,2024-12-01 00:00:00+00,1707121458661x859299593326112500,2024-12-31T03:52:52.906Z,,non_authenticated_user_eternalgy_live,,
64,1735617174480x196705897002689820,2025-09-12T07:48:56.219Z,2025-09-12T07:48:56.219Z,2025-09-12T07:48:56.219Z,,2024-12-31T03:52:54.485Z,2024-04-01 00:00:00+00,1707278668856x639325641278354300,2024-12-31T03:52:54.548Z,,non_authenticated_user_eternalgy_live,,
